prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,sentimiento,frame,subtopico
"a group of people standing outside of a building, market, large commercial led screens, with merchant logo, colored market stand, farmer's market setting, storefronts, architectural rendering, commercial lighting, marketplace, a digital rendering, city of armenia quindio, store, merchants, high detailed store, vendors, downtown mexico, conceptual rendering, caulicoli, advertising lighting","Un grupo de personas que se encuentran fuera de un edificio, mercado, grandes pantallas LED comerciales, con logotipo de comerciante, soporte de mercado de color, escenario de mercado de agricultores, escaparates, representación arquitectónica, iluminación comercial, mercado, una representación digital, ciudad de Armenia Quindio, tienda, comerciantes, altos tiendas, vendedores, vendedores, renderización conceptual, caulicoli, anuncios de publicidad iluminando iluminación iluminadora de iluminación iluminadora.",un grupo de personas que se encuentran fuera de un edificio mercado grandes pantallas led comerciales con logotipo de comerciante soporte de mercado de color escenario de mercado de agricultores escaparates representacion arquitectonica iluminacion comercial mercado una representacion digital ciudad de armenia quindio tienda comerciantes altos tiendas vendedores vendedores renderizacion conceptual caulicoli anuncios de publicidad iluminando iluminacion iluminadora de iluminacion iluminadora,grupo persona encontrar edificio pantalla led logotipo soporte color escenario agricultor escaparat arquitectonico comercial mercado representacion digital ciudad armenia quindio comerciante alto tienda vendedor renderizacion conceptual caulicoli anuncio publicidad iluminar iluminacion iluminadoro,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a crowd of people gathered around a statue of jesus, carnaval de barranquilla, trojan war, battle between angels and demons, coronation of the flower prince, jesus christ fighting lucifer, battle of kings, flying angels, saint seiya, colossus of rhodes, the colossus of rhodes, grand angel wings, finale fantasy, roman festival backdrop, fallen angels","Una multitud de personas se reunió alrededor de una estatua de Jesús, Carnaval de Barranquilla, guerra troyana, batalla entre ángeles y demonios, coronación del príncipe de las flores, Jesucristo luchando contra Lucifer, batalla de reyes, ángeles voladores, santo seiya, colossus de Rhodes, el colso coloso de Rodas, alas de gran ángel, fantasía final, festival romano festival festival festival festival caída de caza",una multitud de personas se reunio alrededor de una estatua de jesus carnaval de barranquilla guerra troyana batalla entre angeles y demonios coronacion del principe de las flores jesucristo luchando contra lucifer batalla de reyes angeles voladores santo seiya colossus de rhodes el colso coloso de rodas alas de gran angel fantasia final festival romano festival festival festival festival caida de caza,multitud persona reunio estatua jesus carnaval barranquilla guerra troyán demonio coronacion principe flor jesucristo luchar lucifer batalla reyes angeles volador santo seiya colossus rhodes colso coloso roda ala angel fantasia romano festival caido caza,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a table with pots and other items on it, crafts and souvenirs, festival of rich colors, tlaquepaque, handmade pottery, mexican folk art, mexican desert, art pottery, colored market stand, mexico, clay art, black and terracotta, brown colours, mexican folklore, chocolate art, black and brown colors, brown colors, celebration of coffee products","Una mesa con macetas y otros artículos, manualidades y recuerdos, festival de colores ricos, tlaquepqueque, cerámica hecha a mano, arte folclórico mexicano, desierto mexicano, cerámica de arte, soporte de mercado de color, México, arte arcilloso, negro y terracota, colores folklores mexicanos, color de chocolate, arte negro y marrón, colores marrones, celebración de productos de café de productos de café.",una mesa con macetas y otros articulos manualidades y recuerdos festival de colores ricos tlaquepqueque ceramica hecha a mano arte folclorico mexicano desierto mexicano ceramica de arte soporte de mercado de color mexico arte arcilloso negro y terracota colores folklores mexicanos color de chocolate arte negro y marron colores marrones celebracion de productos de cafe de productos de cafe,mesa maceta articulo manualidad recuerdo festival rico tlaquepqueque hecho mano folclorico desierto ceramico soporte mercado mexico arcilloso terracota folklor mexicano chocolate arte negro marron color marrones celebracion producto cafe,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a large water tank outside a brick building, watertank, diseno limpio de facil lectura, water reservoir, water particules, aquasixio, water to waste, csp, filled with water, gipf project, filled with plants and habitats, system, biroremediation plant, filling with water, waterfals, hdpe, school courtyard","Un gran tanque de agua fuera de un edificio de ladrillos, pañuelo de agua, desenovación de facil lectura, depósito de agua, partículas de agua, aguasixio, agua a desechos, CSP, llena de agua, proyecto GIPF, lleno de plantas y hábitats, sistema, planta de biroremediación, relleno de agua, hábitos acuáticos, hdpe, comentario escolar",un gran tanque de agua fuera de un edificio de ladrillos panuelo de agua desenovacion de facil lectura deposito de agua particulas de agua aguasixio agua a desechos csp llena de agua proyecto gipf lleno de plantas y habitats sistema planta de biroremediacion relleno de agua habitos acuaticos hdpe comentario escolar,tanque edificio ladrillo panuelo desenovacion facil lectura deposito particula aguasixio desecho csp proyecto gipf lleno habitats sistema planta biroremediacion relleno agua habitos acuatico hdpe comentario escolar,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a man riding a bike through a field, assam tea village background, ecovillage, background: assam tea garden, farm background, idyllic and fruitful land, environment, japense village in background, assam tea garden background, plants environment, parks and public space, outside in a farm, countryside city scene, by Afewerk Tekle, merged machima, in an eco city","Un hombre que viaja en bicicleta a través de un campo, fondo de la aldea de té de Assam, ecovila, antecedentes: jardín de té de Assam, fondo de la granja, tierra idílica y fructífera, ambiente, pueblo japés en el fondo, fondo de jardín de té de Assam, ambiente de plantas, parques y espacio público, afuera en una granja, escena de la ciudad de campo, por el desinicio de Tekle, Machima fusionada, en una ciudad ecológica",un hombre que viaja en bicicleta a traves de un campo fondo de la aldea de te de assam ecovila antecedentes jardin de te de assam fondo de la granja tierra idilica y fructifera ambiente pueblo japes en el fondo fondo de jardin de te de assam ambiente de plantas parques y espacio publico afuera en una granja escena de la ciudad de campo por el desinicio de tekle machima fusionada en una ciudad ecologica,hombre viajar bicicleta traves aldea ecovila antecedente tierra idilico fructifera pueblo japes fondo jardin assam ambiente planta parques espacio publico afuera granja escena campo desinicio tekle machima fusionado ciudad ecologica,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a man standing in front of a bunch of flowers, flower shop scene, tlaquepaque, vendors, hortorium, parks and gardens, floral design, better homes and gardens, garden utopia, geenss archenti flores, home and garden, farmer's market setting, salsa vendor, flowers and plants, juan diaz canales, local heroes","Un hombre que está parado frente a un montón de flores, escena de la tienda de flores, tlaquepaco, vendedores, hortorio, parques y jardines, diseño floral, mejores hogares y jardines, utopía de jardín, geenss arquenti flores, hogar y jardín, mercado de mercado, vendedor de salsa, flores y plantas, canales de diád de juan, héroes locales héroes locales.",un hombre que esta parado frente a un monton de flores escena de la tienda de flores tlaquepaco vendedores hortorio parques y jardines diseno floral mejores hogares y jardines utopia de jardin geenss arquenti flores hogar y jardin mercado de mercado vendedor de salsa flores y plantas canales de diad de juan heroes locales heroes locales,hombre parado frente monton escena tienda tlaquepaco hortorio parques diseno floral mejor jardines utopia geenss arquenti flor hogar jardin mercado vendedor salsa flores planta canal diad juan heroes local,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a model of a building, made out of legos, made of lego, mar - a - lago fbi raid lego set, mar-a-lago fbi raid lego set, real scale, monumental giant palace, brand new lego set ( 2 0 2 1 ), ultra - realistic and intricate, amazing and immaculate scale, museum exposition, lego set, lego city","Un modelo de un edificio, hecho de Legos, hecho de LEGO, Mar - A - Lago FBI Raid LEGO Set, Mar -a -Lago FBI RAID LEGO, escala real, palacio gigante monumental, nuevo set de Lego (2 0 2 1), ultra - realista e intrincado, escala increíble e inmaculada, exposición al museo, LEGO, LEGO City, Lego City",un modelo de un edificio hecho de legos hecho de lego mar  a  lago fbi raid lego set mar a lago fbi raid lego escala real palacio gigante monumental nuevo set de lego 2 0 2 1 ultra  realista e intrincado escala increible e inmaculada exposicion al museo lego lego city lego city,modelo edificio mar lago fbi raid real palacio gigante monumental set ultra realista intrincado escala increible inmaculado exposicion museo lego city,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,1
"a room with statues and a wooden ceiling, classical antiquities on display, réunion des musées nationaux, mat collishaw, venus de milo with arms, some marble statues can be seen, museum exposition, classical marble sculpture, white marble sculpture, portrait en buste, carved marble statue, installation view, statue of venus callipygian, statue of carving marble","Una habitación con estatuas y un techo de madera, antigüedades clásicas en exhibición, Réunion des Musées Nationalux, Mat Collishaw, Venus de Milo con armas, se pueden ver algunas estatuas de mármol, Exposición del museo, escultura clásica de mármol, escultura de mármol blanco, estatua de marzo de retrato, estatua de mármol, visión de instalación, estatua de Venus Callipygian, estatua de marzo de retrato de retrato en el marco de marzo tallado tallado en el marzo escondido de marzo.",una habitacion con estatuas y un techo de madera antiguedades clasicas en exhibicion reunion des musees nationalux mat collishaw venus de milo con armas se pueden ver algunas estatuas de marmol exposicion del museo escultura clasica de marmol escultura de marmol blanco estatua de marzo de retrato estatua de marmol vision de instalacion estatua de venus callipygian estatua de marzo de retrato de retrato en el marco de marzo tallado tallado en el marzo escondido de marzo,habitacion techo madera antiguedad clasica exhibicion reunion des musees nationalux mat collishaw milo arma exposicion museo clasico escultura blanco marmol vision instalacion venus callipygian estatua retrato marco tallado escondido marzo,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a poster with the words, ' averate en mipata ', expectation of adventure, alegria, villany, action - adventure, travel and adventure, app, tula, adularia, atla, travel ad, aleriia _ v ( lerapi ), mulato, in avila pinewood, on a canva, scuta, nature utopia","Un póster con las palabras, 'Aprender en mipata', expectativa de aventura, Alegria, Villany, Acción - Aventura, Viajes y Aventuras, APP, Tula, Adularia, Atla, Viajes AD, Aleriia _ V (Lerapi), Mulato, en Avila Pinewood, en un lata, Scuta, Nature Utopia Utopia",un poster con las palabras aprender en mipata expectativa de aventura alegria villany accion  aventura viajes y aventuras app tula adularia atla viajes ad aleriia _ v lerapi mulato en avila pinewood en un lata scuta nature utopia utopia,poster palabra aprender mipata expectativo alegrio villany accion aventura app tulo adulario viaje aleriia lerapi mulato avila pinewood lata scuta nature utopia,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,-1
"a crowd of people walking down a street, males and females breakdancing, chinese new year in shanghai, circus performance, breakdancing, bustling with people, community celebration, floating over a city sidewalk, people dancing, people dancing in background, slam dancing, leaping from babaob tree, street fighting, local people chasing to attack, bangkok townsquare, mary poppins","Una multitud de personas caminando por una calle, los hombres y las mujeres se rompen, el año nuevo chino en Shanghai, el rendimiento del circo, el breakdancing, el bullicio de personas, la celebración de la comunidad, flotando sobre una acera de la ciudad, gente bailando, gente bailando en segundo plano, bailando, saltando de babaob árbol, lucha callejera, personas locales que persiguen a atacar, pueblos de Bangkok, mary popps poppins",una multitud de personas caminando por una calle los hombres y las mujeres se rompen el ano nuevo chino en shanghai el rendimiento del circo el breakdancing el bullicio de personas la celebracion de la comunidad flotando sobre una acera de la ciudad gente bailando gente bailando en segundo plano bailando saltando de babaob arbol lucha callejera personas locales que persiguen a atacar pueblos de bangkok mary popps poppins,multitud caminar calle hombre mujer romper ano chino shanghai rendimiento circo breakdancing bullicio celebracion comunidad flotar acera ciudad gente plano bailar saltar babaob arbol luchar callejero persona local perseguir atacar pueblo bangkok mary popps poppins,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,2
"a restaurant with tables and chairs and flags, mexico, food stalls, market setting, food court, ingredients on the table, busy restaurant, gourmet restaurant, restaurant, food focus, inside a cluttered kitchen, mexico city, cinemática, downtown mexico, the table is full of food, food stall, chefs table, red and green color scheme, restaurant!!","Un restaurante con mesas, sillas y banderas, México, puestos de comida, mercado, patio de comidas, ingredientes sobre la mesa, restaurante ocupado, restaurante gourmet, restaurante, enfoque de comida, dentro de una cocina desordenada, ciudad de México, cinemática, centro de México, la mesa está llena de comida, puesta en comida, mesa de chefs, rojo y color verde, restaurante, restaurante, ¡restaurante, restaurante, restaurante!",un restaurante con mesas sillas y banderas mexico puestos de comida mercado patio de comidas ingredientes sobre la mesa restaurante ocupado restaurante gourmet restaurante enfoque de comida dentro de una cocina desordenada ciudad de mexico cinematica centro de mexico la mesa esta llena de comida puesta en comida mesa de chefs rojo y color verde restaurante restaurante restaurante restaurante restaurante,silla bandera puestos mercado patio ingredient ocupado gourmet enfoque cocina desordenado ciudad cinematica centro mexico llena puesto comida mesa chef rojo color verde restaurante,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a room with a wooden floor and a wooden table, photograph of 3d ios room, virtual metaverse room, 3 6 0 picture, an estate agent listing photo, hdr photorealism, 3 d ray tracing, 3d ray tracing, art station 3 d, 3 d ar vr art, an escape room in a small, with retro sci fi furniture","una habitación con un piso de madera y una mesa de madera, fotografía de la sala 3D iOS, sala de metraveres virtuales, 3 6 0 imagen, una foto de agente inmobiliario, fotorrealismo HDR, rastreo de rayos de 3 d, trazado de rayos 3D, estación de arte 3 d, 3 d Ar VR Art",una habitacion con un piso de madera y una mesa de madera fotografia de la sala 3d ios sala de metraveres virtuales 3 6 0 imagen una foto de agente inmobiliario fotorrealismo hdr rastreo de rayos de 3 d trazado de rayos 3d estacion de arte 3 d 3 d ar vr art,habitacion piso mesa madera fotografia ios sala metraver virtual imagen foto agente inmobiliario fotorrealismo hdr rastreo rayo trazado rayos estacion arte art,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a boat docked on the water near a dock, small dock, parks and lakes, boat dock, green waters, a photo of a lake on a sunny day, lagoon, floating buildings, waterways, at the waterside, lake view, city docks, melbourne, tenochtitlan, gofl course and swimming, in a park and next to a lake","Un bote atracado en el agua cerca de un muelle, muelle pequeño, parques y lagos, muelle de botes, aguas verdes, una foto de un lago en un día soleado, laguna, edificios flotantes, vías fluviales, en la orilla del lago, los muelles de la ciudad, Melbourne, Tenochtitlan, el curso de GoFl y el cielo, en un parque y al lado de un lago",un bote atracado en el agua cerca de un muelle muelle pequeno parques y lagos muelle de botes aguas verdes una foto de un lago en un dia soleado laguna edificios flotantes vias fluviales en la orilla del lago los muelles de la ciudad melbourne tenochtitlan el curso de gofl y el cielo en un parque y al lado de un lago,atracado cerca pequeno parques lagos muelle bote agua verde foto soleado laguna edificio flotante via fluvial orilla muell ciudad melbourne tenochtitlan curso gofl cielo parque lago,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"festival de oridas, geenss archenti flores, flowers and plants, (flowers), floreal, plants and flowers, golondrinas, flowers, flowers!!!!, tlaquepaque, full of flowers, flowers around, flowers and gold, with flowers and plants, the grand temple of flowers, queen of flowers, floralpunk","Festival de Oridas, Geenss Archenti Flores, flores y plantas, (flores), florales, plantas y flores, Golondrinas, flores, flores, tlaquepaco, llena de flores, flores alrededor, flores y oro, con flores y plantas, la gran templo de flores, reina de flores, floralpunk, floralpunk",festival de oridas geenss archenti flores flores y plantas flores florales plantas y flores golondrinas flores flores tlaquepaco llena de flores flores alrededor flores y oro con flores y plantas la gran templo de flores reina de flores floralpunk floralpunk,festival oridas geenss archenti floral golondrina tlaquepaco lleno oro planta templo flores reina flor floralpunk,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a stone with a circular design on it, in the art style of quetzecoatl, tenochtitlan, mayan, aztec iconography, mexico, mayan style, by Rufino Tamayo, aztec god, art nuevo, aztec, maya temples, museum exposition, el dia los muertos, chiaoscuro, ( el dia los muertos )","Una piedra con un diseño circular sobre él, en el estilo artístico de Quetzecoatl, Tenochtitlan, Mayan, Aztec Iconography, México, Mayan Style, por Rufino Tamayo, Aztec God, Art Nuevo, Aztec, Maya Temple, Exposición del Museo, El Dia Los Muertos, Chiaoscuro, (el DiA Los Muertos)",una piedra con un diseno circular sobre el en el estilo artistico de quetzecoatl tenochtitlan mayan aztec iconography mexico mayan style por rufino tamayo aztec god art nuevo aztec maya temple exposicion del museo el dia los muertos chiaoscuro el dia los muertos,piedra diseno circular estilo artistico quetzecoatl tenochtitlan iconography mexico mayan style rufino tamayo god art aztec maya temple exposicion museo chiaoscuro muerto,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a garden with flowers and trees in the middle of a street, breakfast at las pozas, tlaquepaque, las pozas, lush trees and flowers, parks and gardens, flowers and trees, geenss archenti flores, beautiful ancient garden behind, lots of plants and flowers, in a garden of a house, the empress’ swirling gardens","Un jardín con flores y árboles en el medio de una calle, desayuno en Las Pozas, Tlaquepacque, Las Plas, exuberantes árboles y flores, parques y jardines, flores y árboles, Geenss Archenti Flores, hermoso jardín antiguo detrás, muchas plantas y flores, en un jardín de una casa, los jardines de los Empres Tiradores.",un jardin con flores y arboles en el medio de una calle desayuno en las pozas tlaquepacque las plas exuberantes arboles y flores parques y jardines flores y arboles geenss archenti flores hermoso jardin antiguo detras muchas plantas y flores en un jardin de una casa los jardines de los empres tiradores,calle desayuno poza tlaquepacque pla exuberant parques jardines flores arbol geenss archenti hermoso antiguo planta flor jardin casa jardín empr tirador,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a statue and a sculpture in a room, by Louise Nevelson, made of intricate metal and wood, black metal rococo, the great door of hell, intricate carved wood, golden wood carved in relief, wooden cabinet, cursed baroque with ebony inlay, hyperdetailed metalwork, detailed wood carving, extremely detailed furnitures, mat collishaw, intricate wood carving","Una estatua y una escultura en una habitación, de Louise Nevelson, hecha de metal y madera intrincados, rococo de metal negro, la gran puerta del infierno, madera tallada intrincada, madera dorada tallada en alivio, gabinete de madera, barroque maldito con incrustación de ébano, metalwork hiperdescadado, tallado de madera detallada, muñeca extremadamente detallada, colisca de madera intrincada, tallado de madera intrincada, quilado de madera.",una estatua y una escultura en una habitacion de louise nevelson hecha de metal y madera intrincados rococo de metal negro la gran puerta del infierno madera tallada intrincada madera dorada tallada en alivio gabinete de madera barroque maldito con incrustacion de ebano metalwork hiperdescadado tallado de madera detallada muneca extremadamente detallada colisca de madera intrincada tallado de madera intrincada quilado de madera,estatua escultura habitacion louise nevelson hecho rococo metal negro puerta infierno dorado alivio gabinete barroque maldito incrustacion ebano metalwork hiperdescadado muneca extremadamente detallado colisca tallado intrincado quilado madera,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a man in a wrestling ring holding a rope, lucha libre, el dorado, portrait of lucha libre dj, vega mask, 4k press image, golden mask, aztec god, white and orange breastplate, a man wearing golden mask, silver and yellow color scheme, vale encantado, glitz pro, golden and silver colors, mexico city, golden bodypaint","Un hombre en un anillo de lucha libre con una cuerda, Lucha Libre, El Dorado, Retrato de Lucha Libre DJ, Vega Mask, 4K Press Image, Golden Mask, Aztec God, White and Orange Breadplate, un hombre con máscara dorada, esquema de color plateado y amarillo, Vale Encantado, Glitz Pro, Golden and Silver Color, México City, Golden BodyPraintpreant.",un hombre en un anillo de lucha libre con una cuerda lucha libre el dorado retrato de lucha libre dj vega mask 4k press image golden mask aztec god white and orange breadplate un hombre con mascara dorada esquema de color plateado y amarillo vale encantado glitz pro golden and silver color mexico city golden bodypraintpreant,anillo cuerda retrato lucha libre vega press image mask aztec god white orange breadplate hombre mascara dorado esquema plateado amarillo valer encantado glitz pro and silver color mexico city golden bodypraintpreant,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,-1
"a plate full of dried dried dried dried dried dried dried dried dried dried dried dried dried dried dried dried dried, dried aquarium, an orgy of colorful, candy worms, colored market stand, very crisped colors, paprika, 8 intricate golden tenticles, gummy worms, various colors, heated coils, spices, wide range of colors, diverse colors, mexican desert",Una placa llena de acuario seco seco seco seco seco seco seco seco seco seco seco,una placa llena de acuario seco seco seco seco seco seco seco seco seco seco seco,placa lleno acuario seco,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a clock is hanging from the ceiling of a building, archways, tlaquepaque, archs and columns, steel archways, giant archways, curving geometric arches, arched ceiling, archs and walls, symmetrically centered, dry archways, there are archways, archways made of lush greenery, ray - tracing","Un reloj cuelga del techo de un edificio, arcos, tlaquepque, arcos y columnas, arcos de acero, arcos gigantes, arcos geométricos curvos, techo arqueado, arcos y paredes, arcos secos, centrados simétricamente, hay arcos, arcos de greenería exuberante, rayo - rastreo - rastreo",un reloj cuelga del techo de un edificio arcos tlaquepque arcos y columnas arcos de acero arcos gigantes arcos geometricos curvos techo arqueado arcos y paredes arcos secos centrados simetricamente hay arcos arcos de greeneria exuberante rayo  rastreo  rastreo,reloj colgar edificio arcos tlaquepque columna acero gigante geometrico curvo techo arqueado pared seco centrado simetricamente arco greeneria exuberante rayo rastreo,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a large building with arches and pillars, royal palace interior, school courtyard, guanajuato, brutalist aztec architecture, aztec architecture, pueblo architecture, monumental giant palace, archs and columns, remedios varo uranga, arches adorned pillars, tlaquepaque, pritzker architecture prize, elaborate latticed balconies, quito school","Un gran edificio con arcos y pilares, interior del palacio real, patio escolar, guanajuato, arquitectura brutalista azteca, arquitectura azteca, arquitectura de pueblo, palacio gigante monumental, arcos y columnas, remedios varo uranga, pilares adornados, tlaquepaco, premio arquitectura pritzker, elaborado de barro, elaborado, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados, quitados.",un gran edificio con arcos y pilares interior del palacio real patio escolar guanajuato arquitectura brutalista azteca arquitectura azteca arquitectura de pueblo palacio gigante monumental arcos y columnas remedios varo uranga pilares adornados tlaquepaco premio arquitectura pritzker elaborado de barro elaborado quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados quitados,edificio interior real patio escolar guanajuato brutalista azteca pueblo palacio gigante monumental arco columna remedio varo uranga pilar adornado tlaquepaco premio arquitectura pritzker barro elaborado quitado,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,0
"a person holding a corn with a bunch of corn, corn on a cob everywhere, all growing inside an enormous, corn, large cornicione, corn chess board game, hatched ear, organic biomass, fertile, cornucopia, organic horror, selective breeding, squashed berries, surreal alien ribbed white fruit, corn floating in ocean, strangely mutated","a person holding a corn with a bunch of corn, corn on a cob everywhere, all growing inside an enormous, corn, large cornicione, corn chess board game, hatched ear, organic biomass, fertile, cornucopia, organic horror, selective breeding, squashed berries, surreal alien ribbed white fruit, corn floating in ocean, strangely mutated",a person holding a corn with a bunch of corn corn on a cob everywhere all growing inside an enormous corn large cornicione corn chess board game hatched ear organic biomass fertile cornucopia organic horror selective breeding squashed berries surreal alien ribbed white fruit corn floating in ocean strangely mutated,person holding with bunch cob everywhere all growing inside enormous large cornicione chess board game hatched ear biomass fertile cornucopia organic horror selective breeding squashed berries surreal alien ribbed white fruit corn floating ocean strangely mutated,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a bunch of flowers in a greenhouse, flower shop scene, the grand temple of flowers, the vibrant echoes of the market, the empress’ swirling gardens, market in japan, lots of plants and flowers, market, street market, flowers everywhere, colored market stand, busy market, lots of flowers, flowers and plants, inside an arabian market bazaar","Un montón de flores en un invernadero, escena de la tienda de flores, el Gran Templo de las Flores, los ecos vibrantes del mercado, los jardines giratorios de la Emperatriz, el mercado en Japón, muchas plantas y flores, mercado, mercado callejero, flores en todas partes, mercado de color, mercado ocupado, muchas flores, flores y plantas, dentro de un mercado árabe Bazaar.",un monton de flores en un invernadero escena de la tienda de flores el gran templo de las flores los ecos vibrantes del mercado los jardines giratorios de la emperatriz el mercado en japon muchas plantas y flores mercado mercado callejero flores en todas partes mercado de color mercado ocupado muchas flores flores y plantas dentro de un mercado arabe bazaar,monton invernadero escenar tienda templo eco vibrante jardín giratorio emperatriz japon callejero parte color ocupado flor flores planta mercado arabe bazaar,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a woman standing behind a table with a variety of jars of honey, vendors, salsa vendor, street vendors, colored market stand, street market, hartper's bazaar, marketing, celebration of coffee products, market, crafts and souvenirs, market setting, marketplace, ue marketplace, made of fruit and flowers, marketing photo, alebrijes aesthetic, farmer's market setting","Una mujer que está parada detrás de una mesa con una variedad de frascos de miel, vendedores, proveedores de salsa, vendedores callejeros, soporte de mercado de colores, mercado callejero, bazaar de Hartper, marketing, celebración de productos de café, mercado, manualidades y recuerdos, mercado, mercado, mercado, hecho de frutas y flores, foto de marketing, alebrijes aestes, aestética, mercado de mercado de agricultores.",una mujer que esta parada detras de una mesa con una variedad de frascos de miel vendedores proveedores de salsa vendedores callejeros soporte de mercado de colores mercado callejero bazaar de hartper marketing celebracion de productos de cafe mercado manualidades y recuerdos mercado mercado mercado hecho de frutas y flores foto de marketing alebrijes aestes aestetica mercado de mercado de agricultores,mujer parada mesa variedad frasco miel vendedor proveedor salsa vendedores soporte color callejero bazaar hartper celebracion producto cafe manualidad recuerdo fruta flor foto marketing alebrij aest aestetico mercado agricultor,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a large glass display with many butterflies, butterflies flying, butterflies and birds, birds and butterflies, monarch butterflies, butterflies floating in the sky, discovery zone, butterflies in the foreground, floating translucent graphics, 3 d ar vr art, butterfly lighting, photograph of 3d ios room, butterflies, photo of a mechanical butterfly, inside a glass box, inside a museum","Una gran exhibición de vidrio con muchas mariposas, mariposas volando, mariposas y pájaros, pájaros y mariposas, mariposas monarca, mariposas flotando en el cielo, zona de descubrimiento, mariposas en primer plano, gráficos translúcidos flotantes, 3 d ar vr arte, iluminación de mariposas, fotografía de la sala de iOS 3d, mantequilla, foto de una babla",una gran exhibicion de vidrio con muchas mariposas mariposas volando mariposas y pajaros pajaros y mariposas mariposas monarca mariposas flotando en el cielo zona de descubrimiento mariposas en primer plano graficos translucidos flotantes 3 d ar vr arte iluminacion de mariposas fotografia de la sala de ios 3d mantequilla foto de una babla,exhibicion vidrio volar pajaro pajaros mariposa monarca flotar cielo zona descubrimiento plano grafico translucido flotante arte iluminacion mariposas fotografia sala ios mantequilla foto babla,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a group of flamings standing around a pond, flamingoes, flamingos, the flamingo cafe, flamingo, by Cherryl Fountain, animal world, in the zoo exhibit, discovery zone, tropical birds, many wild animals, evenly spaced, lush wildlife, flora and fauna, birds, ( ( ( aquarium bed ) ) ) ), with great birds, tropicalism","a group of flamings standing around a pond, flamingoes, flamingos, the flamingo cafe, flamingo, by Cherryl Fountain, animal world, in the zoo exhibit, discovery zone, tropical birds, many wild animals, evenly spaced, lush wildlife, flora and fauna, birds, ( ( ( aquarium bed ) ) ) ), with great birds, tropicalism",a group of flamings standing around a pond flamingoes flamingos the flamingo cafe flamingo by cherryl fountain animal world in the zoo exhibit discovery zone tropical birds many wild animals evenly spaced lush wildlife flora and fauna birds    aquarium bed     with great birds tropicalism,group flamings standing around pond cafe flamingo cherryl fountain animal world the zoo exhibit discovery zone tropical many wild animals evenly spaced lush wildlife flora and fauna aquarium bed with great birds tropicalism,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEG,NEUTRAL,1
